,retrived_at,province_id,city,state,country,pollution_aqi,polution_main,weather_tp,weather_pr,weather_hu,weather_ws,weather_wd,file,0
144,4/28/2023 6:15,TH-11,Bang Phli,Samut Prakan,Thailand,88,p2,28,1009,83,2.57,90,df (12),13.0
145,4/28/2023 6:16,TH-12,Mueang Nonthaburi,Nonthaburi,Thailand,85,p2,28,1009,77,2.06,100,df (12),14.0
146,4/28/2023 6:17,TH-13,Khlong Luang,Pathum Thani,Thailand,79,p2,28,1010,87,2.06,100,df (12),15.0
147,4/28/2023 6:17,TH-14,Ayutthaya,Phra Nakhon Si Ayutthaya,Thailand,140,p2,26,1009,77,1.44,186,df (12),16.0
148,4/28/2023 6:18,TH-15,Ban Phraek,Phra Nakhon Si Ayutthaya,Thailand,127,p2,26,1009,78,1.64,178,df (12),17.0
149,4/28/2023 6:18,TH-16,Ban Mi,Lop Buri,Thailand,95,p2,28,1009,79,1.72,184,df (12),18.0
150,4/28/2023 6:19,TH-20,Na Kluea,Chon Buri,Thailand,76,p2,29,1009,78,2.15,203,df (12),19.0
151,4/28/2023 6:19,TH-21,Ban Khai,Rayong,Thailand,89,p2,28,1010,87,0.59,262,df (12),20.0
152,4/28/2023 6:20,TH-50,Chiang Mai,Chiang Mai,Thailand,119,p2,26,1010,69,1.03,0,df (12),21.0
153,4/28/2023 6:20,TH-52,Hang Chat,Lampang,Thailand,137,p2,23,1010,77,0.47,306,df (12),22.0
154,4/28/2023 7:15,TH-10,Phra Nakhon,Bangkok,Thailand,102,p2,28,1009,64,2.56,193,df (12),23.0
155,4/28/2023 7:16,TH-11,Bang Phli,Samut Prakan,Thailand,95,p2,28,1010,78,1.54,80,df (12),24.0
156,4/28/2023 7:16,TH-12,Mueang Nonthaburi,Nonthaburi,Thailand,96,p2,28,1010,75,1.54,140,df (12),25.0
157,4/28/2023 7:17,TH-13,Khlong Luang,Pathum Thani,Thailand,92,p2,28,1011,86,1.54,140,df (12),26.0
158,4/28/2023 7:17,TH-14,Ayutthaya,Phra Nakhon Si Ayutthaya,Thailand,130,p2,27,1009,72,1.94,202,df (12),27.0
159,4/28/2023 7:18,TH-15,Ban Phraek,Phra Nakhon Si Ayutthaya,Thailand,139,p2,27,1010,71,1.69,180,df (12),28.0
160,4/28/2023 7:18,TH-16,Ban Mi,Lop Buri,Thailand,103,p2,28,1010,73,1.69,187,df (12),29.0
161,4/28/2023 7:19,TH-20,Na Kluea,Chon Buri,Thailand,78,p2,29,1010,75,1.96,196,df (12),30.0
162,4/28/2023 7:19,TH-21,Ban Khai,Rayong,Thailand,97,p2,29,1011,85,0.65,233,df (12),31.0
163,4/28/2023 7:20,TH-50,Chiang Mai,Chiang Mai,Thailand,128,p2,26,1011,74,0.51,0,df (12),32.0
164,4/28/2023 7:20,TH-52,Hang Chat,Lampang,Thailand,152,p2,25,1010,69,0.27,304,df (12),33.0
165,4/28/2023 8:15,TH-10,Phra Nakhon,Bangkok,Thailand,97,p2,30,1010,60,2.42,198,df (12),34.0
166,4/28/2023 8:15,TH-11,Bang Phli,Samut Prakan,Thailand,90,p2,30,1010,74,2.06,140,df (12),35.0
167,4/28/2023 8:16,TH-12,Mueang Nonthaburi,Nonthaburi,Thailand,86,p2,29,1012,67,2.57,70,df (12),36.0
168,4/28/2023 8:16,TH-13,Khlong Luang,Pathum Thani,Thailand,95,p2,30,1012,78,2.57,70,df (12),37.0
169,4/28/2023 8:17,TH-14,Ayutthaya,Phra Nakhon Si Ayutthaya,Thailand,133,p2,29,1010,61,2.2,196,df (12),38.0
170,4/28/2023 8:18,TH-15,Ban Phraek,Phra Nakhon Si Ayutthaya,Thailand,135,p2,29,1010,62,2.14,196,df (12),39.0
171,4/28/2023 8:18,TH-16,Ban Mi,Lop Buri,Thailand,103,p2,30,1011,63,2.1,200,df (12),40.0
172,4/28/2023 8:19,TH-20,Na Kluea,Chon Buri,Thailand,85,p2,31,1011,71,2.41,195,df (12),41.0
173,4/28/2023 8:19,TH-21,Ban Khai,Rayong,Thailand,99,p2,31,1012,78,1.19,200,df (12),42.0
174,4/28/2023 8:20,TH-50,Chiang Mai,Chiang Mai,Thailand,131,p2,30,984,60,0.51,0,df (12),43.0
175,4/28/2023 8:20,TH-52,Hang Chat,Lampang,Thailand,156,p2,29,1011,29,0.43,228,df (12),44.0
176,4/28/2023 9:15,TH-10,Phra Nakhon,Bangkok,Thailand,93,p2,32,1011,60,2.4,206,df (12),45.0
177,4/28/2023 9:15,TH-11,Bang Phli,Samut Prakan,Thailand,82,p2,32,1011,66,1.54,0,df (12),46.0
178,4/28/2023 9:16,TH-12,Mueang Nonthaburi,Nonthaburi,Thailand,84,p2,31,1012,64,2.06,50,df (12),47.0
179,4/28/2023 9:17,TH-13,Khlong Luang,Pathum Thani,Thailand,88,p2,32,1012,76,2.06,50,df (12),48.0
180,4/28/2023 9:17,TH-14,Ayutthaya,Phra Nakhon Si Ayutthaya,Thailand,135,p2,31,1011,53,2.23,203,df (12),49.0
181,4/28/2023 9:18,TH-15,Ban Phraek,Phra Nakhon Si Ayutthaya,Thailand,135,p2,31,1011,53,2.3,201,df (12),50.0
182,4/28/2023 9:18,TH-16,Ban Mi,Lop Buri,Thailand,103,p2,32,1011,54,2.4,204,df (12),51.0
183,4/28/2023 9:19,TH-20,Na Kluea,Chon Buri,Thailand,85,p2,32,1011,66,2.5,199,df (12),52.0
184,4/28/2023 9:19,TH-21,Ban Khai,Rayong,Thailand,99,p2,32,1012,71,1.81,204,df (12),53.0
185,4/28/2023 9:20,TH-50,Chiang Mai,Chiang Mai,Thailand,123,p2,31,984,56,2.57,140,df (12),54.0
186,4/28/2023 9:20,TH-52,Hang Chat,Lampang,Thailand,155,p2,33,1011,34,0.84,203,df (12),55.0
187,4/28/2023 10:15,TH-10,Phra Nakhon,Bangkok,Thailand,91,p2,35,1010,47,2.29,201,df (12),56.0
188,4/28/2023 10:15,TH-11,Bang Phli,Samut Prakan,Thailand,78,p2,32,1011,66,1.54,0,df (12),57.0
189,4/28/2023 10:16,TH-12,Mueang Nonthaburi,Nonthaburi,Thailand,80,p2,34,1012,57,1.03,0,df (12),58.0
190,4/28/2023 10:16,TH-13,Khlong Luang,Pathum Thani,Thailand,82,p2,34,1011,74,1.03,0,df (12),59.0
191,4/28/2023 10:17,TH-14,Ayutthaya,Phra Nakhon Si Ayutthaya,Thailand,107,p2,32,1010,46,1.99,213,df (12),60.0
192,4/28/2023 10:18,TH-15,Ban Phraek,Phra Nakhon Si Ayutthaya,Thailand,122,p2,32,1010,47,2.31,198,df (12),61.0
193,4/28/2023 10:18,TH-16,Ban Mi,Lop Buri,Thailand,108,p2,34,1010,48,2.09,199,df (12),62.0
194,4/28/2023 10:19,TH-20,Na Kluea,Chon Buri,Thailand,76,p2,33,1011,63,2.93,211,df (12),63.0
195,4/28/2023 10:19,TH-21,Ban Khai,Rayong,Thailand,78,p2,32,1012,67,2.4,195,df (12),64.0
196,4/28/2023 10:20,TH-50,Chiang Mai,Chiang Mai,Thailand,124,p2,33,984,50,1.54,0,df (12),65.0
197,4/28/2023 10:20,TH-52,Hang Chat,Lampang,Thailand,138,p2,35,1010,30,1.57,185,df (12),66.0
198,4/28/2023 5:15,TH-10,Phra Nakhon,Bangkok,Thailand,83,p2,29,1008,62,3.09,201,df (13),
199,4/28/2023 5:15,TH-11,Bang Phli,Samut Prakan,Thailand,78,p2,28,1008,83,2.06,60,df (13),
200,4/28/2023 5:16,TH-12,Mueang Nonthaburi,Nonthaburi,Thailand,80,p2,29,1009,76,2.57,80,df (13),
201,4/28/2023 5:16,TH-13,Khlong Luang,Pathum Thani,Thailand,77,p2,28,1009,87,2.57,80,df (13),
202,4/28/2023 5:17,TH-14,Ayutthaya,Phra Nakhon Si Ayutthaya,Thailand,130,p2,26,1008,76,1.31,197,df (13),
203,4/28/2023 5:18,TH-15,Ban Phraek,Phra Nakhon Si Ayutthaya,Thailand,127,p2,26,1008,77,1.57,181,df (13),
204,4/28/2023 5:18,TH-16,Ban Mi,Lop Buri,Thailand,95,p2,28,1008,78,1.9,184,df (13),
205,4/28/2023 5:19,TH-20,Na Kluea,Chon Buri,Thailand,76,p2,29,1008,78,2.31,205,df (13),
206,4/28/2023 5:19,TH-21,Ban Khai,Rayong,Thailand,89,p2,28,1009,83,0.86,253,df (13),
207,4/28/2023 5:20,TH-50,Chiang Mai,Chiang Mai,Thailand,114,p2,26,1010,69,2.06,250,df (13),
208,4/28/2023 5:20,TH-52,Hang Chat,Lampang,Thailand,132,p2,24,1009,77,0.34,268,df (13),
209,4/28/2023 6:15,TH-10,Phra Nakhon,Bangkok,Thailand,83,p2,29,1009,64,2.68,193,df (13),
210,4/28/2023 6:15,TH-11,Bang Phli,Samut Prakan,Thailand,88,p2,28,1009,83,2.57,90,df (13),
211,4/28/2023 6:16,TH-12,Mueang Nonthaburi,Nonthaburi,Thailand,85,p2,28,1009,77,2.06,100,df (13),
212,4/28/2023 6:17,TH-13,Khlong Luang,Pathum Thani,Thailand,79,p2,28,1010,87,2.06,100,df (13),
